# Waterkotte Resümat CD4 - Firmwareversion 8011
# Name,Menue,Addresse,Laenge,Typ,Min,Max,ReadOnly
Gesamt,-.--,00,11B,0,0,0,1
Hz-Anhebung-Ein,1.07,C7,3,t,0,0,1
Hz-Anhebung-Aus,1.08,CA,3,t,0,0,1
Hz-Temp-RaumSoll,1.09,CD,4,f,15.0,30.0,0
Hz-RaumEinfluss,1.10,D1,1,c,0,200,0
Hz-Ext-Anhebung,1.11,D2,4,f,-5.0,5.0,0
Hz-Begrenzung,1.12,D6,4,f,10.0,50.0,0
Hz-St2-Begrenzung,1.13,DA,4,f,10.0,60.0,0
Hz-Hysterese,1.14,DE,4,f,1.0,3.0,0
Hz-PumpenNachl,1.15,E2,1,c,0,20,0
Ww-Abschaltung,2.00,E3,1,c,0,1,0
Ww-Zeit-Ein,2.01,E4,3,t,0,0,0
Ww-Zeit-Aus,2.02,E7,3,t,0,0,0
Ww-Temp-Soll,2.04,EA,4,f,20.0,55.0,0
Ww-Becken-Temp-Soll,2.05,EE,4,f,20.0,35.0,0
Ww-Hysterese,2.06,F2,4,f,5.0,10.0,0
Hz-Begrenzung,1.12,D6,4,f,10.0,50.0,0
Hz-St2-Begrenzung,1.13,DA,4,f,10.0,60.0,0
Hz-Hysterese,1.14,DE,4,f,1.0,3.0,0
Hz-PumpenNachl,1.15,E2,1,c,0,20,0
Ww-Abschaltung,2.00,E3,1,c,0,1,0
Ww-Zeit-Ein,2.01,E4,3,t,0,0,0
Ww-Zeit-Aus,2.02,E7,3,t,0,0,0
Ww-Temp-Soll,2.04,EA,4,f,20.0,55.0,0
Ww-Becken-Temp-Soll,2.05,EE,4,f,20.0,35.0,0
Ww-Hysterese,2.06,F2,4,f,5.0,10.0,0
Ww-Becken-Hysterese,2.07,F6,4,f,0.5,5.0,0
Unterdr-Warnung-Eingang,4.11,FA,1,b,0,0,0
Unterdr-Warnung-Ausgang,4.12,FB,1,b,0,0,0
Unterdr-Warnung-Sonstige,4.13,FC,1,b,0,0,0
Betriebs-Mode,6.02,FD,3,d,0,0,1
Modem-Klingelzeichen,6.04,100,1,c,1,6,0
Fremdzugriff,6.05,101,1,c,0,1,0
Schluesselnummer,6.06,102,1,c,0,255,0
Hz-Ext-Freigabe,6.07,103,1,c,0,1,0
Hz-Ext-TempRueckl-Soll,6.08,104,4,f,20.0,30.0,0
St2-Temp-QAus-Min,6.09,108,4,f,-25.0,20.0,0
St2-Temp-Verdampfer-Min,6.10,10C,4,f,-25.0,20.0,0
Estrich-Aufhz,6.11,110,1,c,0,1,0
Hz-Ext-Steuerung,6.12,111,1,b,0,0,0
St2-bei-EvuAbsch,6.13,112,1,c,0,1,0
Freigabe-Beckenwasser,6.14,113,1,c,0,1,0
Do-Handkanal,7.00,114,1,c,0,8,0
Do-Handkanal-Ein,7.01,115,1,c,0,1,0
Analog-Korr-Faktor,9.04,116,4,f,-0.8000,1.2000,0
Run-Flag,9.07,11A,1,c,0,1,0 
